Date,Open,High,Low,Close,Volume
2025-01-01,4094.40,4134.00,4085.45,4112.45,763161
2025-01-02,4120.00,4183.00,4096.95,4175.75,1720835
2025-01-03,4179.95,4179.95,4092.30,4099.90,1791953
2025-01-06,4105.50,4149.65,4066.40,4095.00,2085593
2025-01-07,4114.95,4140.35,4011.55,4028.30,2669054
2025-01-08,4034.90,4126.00,4017.75,4108.40,2181277
2025-01-09,4101.00,4137.75,4025.30,4038.85,2392472
2025-01-10,4200.00,4297.00,4170.00,4265.65,7894300
2025-01-13,4245.00,4322.95,4227.40,4291.10,4003771
2025-01-14,4302.00,4313.90,4219.05,4233.05,3441709
2025-01-15,4218.00,4256.45,4207.45,4249.60,1653474
2025-01-16,4260.00,4294.00,4191.85,4206.30,2637705
2025-01-17,4159.90,4160.60,4100.05,4124.30,1761466
2025-01-20,4145.80,4145.80,4068.10,4077.80,1287799
2025-01-21,4095.30,4111.00,4030.00,4035.85,1971591
2025-01-22,4050.00,4163.15,4044.20,4156.60,2409223
2025-01-23,4168.00,4191.35,4140.05,4145.45,1822998
2025-01-24,4104.00,4178.00,4104.00,4152.35,1910099
2025-01-27,4102.00,4156.35,4041.05,4065.15,1551782
2025-01-28,4070.80,4102.00,4028.30,4040.30,2468272
2025-01-29,4054.00,4107.85,4054.00,4099.80,1217089
2025-01-30,4099.90,4129.90,4058.50,4100.05,1531251
2025-01-31,4110.00,4128.45,4085.25,4112.40,1492943
2025-02-01,4113.00,4135.90,4056.00,4073.15,437172
2025-02-03,4030.90,4077.00,3998.70,4068.65,1265713
2025-02-04,4083.70,4118.85,4066.05,4107.05,2547132
2025-02-05,4150.00,4150.00,4076.00,4091.10,1693912
2025-02-06,4105.40,4139.50,4051.55,4082.75,2284536
2025-02-07,4090.00,4090.00,4008.00,4029.40,1548940
2025-02-10,4040.00,4052.00,4014.35,4036.95,1339511
2025-02-11,4018.40,4040.00,3955.00,3963.55,1810908
2025-02-12,3971.10,4021.75,3940.15,3950.15,1678002
2025-02-13,3968.00,3984.45,3902.25,3910.15,2277310
2025-02-14,3925.00,3948.00,3900.00,3934.85,1681975
2025-02-17,3856.50,3934.00,3856.20,3904.50,1799806
2025-02-18,3898.40,3924.40,3864.50,3873.20,2149879
2025-02-19,3872.20,3874.95,3768.15,3784.10,4366672
2025-02-20,3761.50,3788.00,3751.30,3779.40,2888572
2025-02-21,3776.10,3817.00,3775.00,3786.00,1833931
2025-02-24,3743.15,3763.20,3670.00,3675.60,2508516
2025-02-25,3625.00,3658.00,3621.25,3629.55,4101954
2025-02-27,3611.70,3638.00,3600.70,3612.55,3823856
2025-02-28,3584.95,3600.00,3457.00,3483.25,7085018
2025-03-03,3485.00,3523.25,3476.15,3493.05,4990439
2025-03-04,3474.00,3551.00,3464.30,3532.05,2797737
2025-03-05,3520.85,3600.35,3520.85,3547.05,2501894
2025-03-06,3557.00,3609.45,3536.10,3601.60,2786513
2025-03-07,3600.00,3625.00,3574.40,3611.20,2051315
2025-03-10,3606.50,3622.10,3582.60,3589.65,1004626
2025-03-11,3558.00,3588.75,3537.65,3575.30,1995450
2025-03-12,3565.00,3569.25,3486.85,3506.20,3174167
2025-03-13,3502.30,3524.30,3484.10,3511.05,1693004
2025-03-17,3489.00,3530.45,3477.35,3497.70,2690906
2025-03-18,3497.70,3497.70,3497.70,3497.70,0
2025-03-19,3547.00,3547.00,3462.75,3497.10,3051244
2025-03-20,3512.00,3578.95,3512.00,3563.15,2845192
2025-03-21,3475.00,3616.25,3465.00,3578.10,4161925
2025-03-24,3600.00,3649.75,3566.60,3628.95,1834751
2025-03-25,3645.00,3710.00,3638.00,3657.75,3135390
2025-03-26,3647.75,3680.50,3625.85,3635.80,1734499
2025-03-27,3614.85,3663.00,3610.50,3651.20,2528474
2025-03-28,3651.00,3660.95,3591.90,3606.15,2051919
2025-04-01,3572.70,3584.00,3525.00,3550.80,2618493
2025-04-02,3544.00,3564.10,3530.05,3543.95,1764313
2025-04-03,3491.00,3502.00,3396.15,3403.15,4537821
2025-04-04,3362.60,3399.65,3295.50,3299.40,5317367
2025-04-07,3100.00,3291.40,3056.05,3274.05,6623955
2025-04-08,3302.05,3349.00,3255.30,3292.95,5557558
2025-04-09,3260.55,3270.00,3212.05,3246.60,2990265
2025-04-11,3289.55,3298.95,3206.00,3231.50,7108961
2025-04-15,3314.40,3314.40,3238.60,3248.20,3512160
